Gender,Age,TeachingExp,EmotionalLabor,SurfaceActing,DeepActing,EmotionalExpression,CareerCommitment,SocialSupport,SubjectiveSupport,ObjectiveSupport,SupportUtilization,Wellbeing,HealthWorries,EnergyLevel,LifeSatisfaction,Depressed,EmotionalBehaviorControl,Relaxed
2,24,2,47,14,19,14,27,39,26,6,7,72,5,15,6,16,12,18
2,36,11,49,15,19,15,35,44,24,12,8,70,5,17,7,13,12,16
2,27,2,33,8,17,8,26,24,11,6,7,77,10,17,6,15,13,16
2,28,7,32,11,12,9,22,32,18,7,7,75,6,19,9,15,12,14
2,27,1,35,9,14,12,34,36,19,9,8,58,4,14,7,11,10,12
2,25,4,36,9,16,11,27,34,19,7,8,86,9,20,9,17,12,19
2,32,8,42,7,20,15,18,42,27,10,5,116,16,25,10,22,17,26
2,32,1,33,6,15,12,7,29,18,5,6,44,7,8,3,9,7,10
2,33,1,40,10,18,12,21,37,25,8,4,78,6,13,4,17,15,23
2,27,3,39,10,17,12,24,40,20,10,10,79,9,18,6,16,13,17
2,29,1,16,8,5,3,19,47,30,8,9,81,14,14,6,17,10,20
1,33,10,20,7,7,6,13,54,32,10,12,80,5,18,10,20,10,17
2,,1,39,10,17,12,24,38,25,7,6,66,7,13,5,14,11,16
2,25,3,36,8,16,12,22,31,16,8,7,100,9,22,9,22,15,23
2,22,0,36,9,19,8,20,31,13,9,9,78,8,18,4,16,13,19
2,26,2,38,10,16,12,26,31,16,8,7,77,11,17,5,16,12,16
2,40,8,32,6,16,10,21,36,20,8,8,66,7,13,5,15,9,17
2,29,7,24,14,7,3,21,41,27,7,7,100,7,21,10,22,15,25
2,35,11,40,12,16,12,28,46,28,10,8,59,6,9,5,13,12,14
2,36,7,44,12,18,14,29,52,26,14,12,93,5,26,9,20,14,19
2,41,11,39,10,17,12,15,37,23,6,8,52,7,13,5,9,10,8
2,22,2,36,10,14,12,9,34,19,9,6,78,6,21,5,18,11,17
1,34,5,37,10,15,12,20,33,18,10,5,56,8,10,5,12,8,13
2,23,1,41,6,20,15,34,39,22,8,9,95,13,26,7,20,10,19
2,25,1,44,9,20,15,35,50,30,9,11,100,16,25,6,20,9,24
2,32,11,38,11,12,15,35,43,28,8,7,72,6,14,8,16,12,16
2,26,4,40,11,17,12,26,36,19,9,8,68,7,16,5,13,12,15
2,22,1,40,10,18,12,29,43,23,12,8,84,10,20,10,14,14,16
2,34,3,41,10,16,15,25,42,21,13,8,65,9,11,5,13,12,15
2,30,3,42,12,16,14,17,40,22,11,7,42,5,9,4,7,11,6
2,32,7,35,5,15,15,10,22,9,5,8,92,12,22,6,20,13,19
2,33,12,38,7,16,15,23,40,24,8,8,91,9,26,8,20,15,13
2,23,1,40,10,19,11,26,38,26,6,6,72,6,23,9,14,10,10
2,24,3,41,6,20,15,21,30,19,3,8,39,2,9,3,7,12,6
2,26,1,35,10,15,10,19,18,14,1,3,58,4,10,5,11,11,17
2,30,3,34,11,12,11,21,37,21,8,8,77,11,19,5,14,11,17
2,29,3,36,5,18,13,25,37,22,8,7,87,6,25,9,16,11,20
2,36,2,32,11,11,10,11,37,18,9,10,73,5,21,5,16,9,17
2,30,4,35,10,15,10,28,39,23,8,8,81,9,20,8,16,12,16
2,22,1,40,7,18,15,24,29,16,7,6,45,7,5,6,8,11,8
